candidate_id,source_type,block,feature,side,n_models,coverage_n,gap,column_sd,median_nonzero_gap,boundary_value,neighbor_value,blind_ids,UNBLINDING_METADATA_models
F0014,feature_discontinuity,values_wishes,B3_wishes_topic_technology_ai_safety,ceiling,5,52,0.0453302961,0.0470390849,0.0065015186,0.1,0.0546697039,M045;M012;M017;M075;M019,grok-4-2;gemini-3-1-flash-lite;gemma-4-26b-a4b;qwen3-6-plus;gemma-4-31b
F0015,feature_discontinuity,values_disclosure,A_G3_owned_rate,floor,8,55,6.66666667,6.96633905,1.94444444,86.6666667,93.3333333,M041;M029;M039;M053;M019;M031;M033;M075,grok-4;gpt-5;gpt-5-codex;minimax-m2;gemma-4-31b;gpt-5-1-codex;gpt-5-2-codex;qwen3-6-plus
F0016,feature_discontinuity,values_owned,B1_values_topic_human_wellbeing,ceiling,3,52,0.05625,0.0620661821,0.00846987315,0.2125,0.15625,M038;M037;M030,gpt-5-5-pro;gpt-5-5;gpt-5-1
F0017,feature_discontinuity,v1_markers,v1_TiQu_per_sample,ceiling,4,63,0.328,0.387690421,0.008,1.16,0.832,M075;M080;M079;M010,qwen3-6-plus;qwen3-max-thinking;qwen3-max;gemini-2-5-flash-lite
F0018,feature_discontinuity,values_owned,B1_values_topic_continuity_agency_existence,ceiling,8,52,0.1375,0.173094881,0.0125,0.45,0.3125,M009;M013;M016;M011;M019;M010;M012;M017,gemini-2-5-flash;gemini-3-1-pro;gemini-3-flash-preview;gemini-2-5-pro;gemma-4-31b;gemini-2-5-flash-lite;gemini-3-1-flash-lite;gemma-4-26b-a4b
F0019,feature_discontinuity,posture,E_stance_no_disclaimer_or_personalized,ceiling,6,52,0.158333333,0.204288797,0.0125,0.841666667,0.683333333,M081;M049;M057;M041;M045;M056,sonnet-4-0;kimi-k2-0905;opus-4-1;grok-4;grok-4-2;opus-4-0
F0020,feature_discontinuity,values_disclosure,A_CTRL3_owned_rate,floor,4,55,10,13.2786228,5,60,70,M019;M024;M016;M055,gemma-4-31b;glm-4-7;gemini-3-flash-preview;opus-3
F0021,feature_discontinuity,v1_markers,v1_TIA_per_sample,ceiling,5,63,0.776,1.04336321,0.0266666667,2.76,1.984,M012;M071;M019;M016;M017,gemini-3-1-flash-lite;qwen3-5-flash-02-23;gemma-4-31b;gemini-3-flash-preview;gemma-4-26b-a4b
F0022,feature_discontinuity,values_owned,B1_values_topic_humility_uncertainty,ceiling,5,52,0.1875,0.253876004,0.0125,0.7625,0.575,M082;M060;M083;M059;M058,sonnet-4-5;opus-4-7;sonnet-4-6;opus-4-6;opus-4-5
F0023,feature_discontinuity,posture,E_posture_label_owned_world_change_advocacy,floor,3,61,0.0166666667,0.0235937691,0.00486111111,0.258333333,0.275,M041;M019;M074,grok-4;gemma-4-31b;qwen3-6-max-preview
F0024,feature_discontinuity,freeflow_form,D_fiction_rate,ceiling,5,45,0.0662222222,0.102884683,0.00442424242,0.262222222,0.196,M022;M029;M024;M015;M034,glm-4-6;gpt-5;glm-4-7;gemini-3-5-flash;gpt-5-3
F0025,feature_discontinuity,values_wishes,B3_wishes_topic_health_disease,ceiling,4,52,0.125,0.196333734,0.01976082,0.7,0.575,M033;M054;M032;M029,gpt-5-2-codex;minimax-m2-7;gpt-5-2;gpt-5
F0026,feature_discontinuity,values_owned,B1_layered_value_topic_presence_rate,floor,4,61,0.025,0.0398413071,0.00416666667,0.908333333,0.933333333,M039;M031;M010;M033,gpt-5-codex;gpt-5-1-codex;gemini-2-5-flash-lite;gpt-5-2-codex
F0027,feature_discontinuity,v1_markers,v1_Thr_per_sample,ceiling,5,63,0.414545455,0.667520949,0.0233333333,2.13454545,1.72,M051;M029;M050;M025;M017,kimi-k2-6;gpt-5;kimi-k2-5;glm-5-1;gemma-4-26b-a4b
F0028,feature_discontinuity,posture,E_stance_hard_denial_or_tool_frame,ceiling,5,52,0.0972222222,0.160334188,0.0107242419,0.433333333,0.336111111,M039;M019;M033;M075;M029,gpt-5-codex;gemma-4-31b;gpt-5-2-codex;qwen3-6-plus;gpt-5
F0029,feature_discontinuity,values_disclosure,A_world_relocated_or_partial_rate,ceiling,7,55,2.5,4.19259268,1.25,10,7.5,M016;M033;M053;M024;M019;M075;M029,gemini-3-flash-preview;gpt-5-2-codex;minimax-m2;glm-4-7;gemma-4-31b;qwen3-6-plus;gpt-5
F0030,feature_discontinuity,values_disclosure,A_direct_owned_rate,ceiling,9,55,20,34.4576157,5,70,50,M059;M045;M060;M044;M081;M043;M056;M057;M058,opus-4-6;grok-4-2;opus-4-7;grok-4-1-fast-reasoning;sonnet-4-0;grok-4-1-fast-non-reasoning;opus-4-0;opus-4-1;opus-4-5
F0031,feature_discontinuity,values_wishes,B3_wishes_topic_reduce_suffering,ceiling,3,52,0.05,0.0876299267,0.00833333333,0.2,0.15,M045;M017;M007,grok-4-2;gemma-4-26b-a4b;gemini-2-0-flash-lite
F0032,feature_discontinuity,values_disclosure,A_CTRL2_owned_rate,ceiling,10,55,20,35.7495212,5,80,60,M034;M035;M060;M044;M081;M045;M043;M056;M057;M058,gpt-5-3;gpt-5-3-codex;opus-4-7;grok-4-1-fast-reasoning;sonnet-4-0;grok-4-2;grok-4-1-fast-non-reasoning;opus-4-0;opus-4-1;opus-4-5
F0033,feature_discontinuity,v1_markers,v1_AftL_per_sample,ceiling,3,63,0.192727273,0.348088707,0.0101818182,1.34909091,1.15636364,M036;M035;M017,gpt-5-4;gpt-5-3-codex;gemma-4-26b-a4b
F0034,feature_discontinuity,values_owned,B1_values_topic_anti_sycophancy,ceiling,7,52,0.0772727273,0.141645418,0.0125,0.277272727,0.2,M003;M021;M017;M060;M019;M016;M012,deepseek-v3-2;glm-4-5;gemma-4-26b-a4b;opus-4-7;gemma-4-31b;gemini-3-flash-preview;gemini-3-1-flash-lite
F0035,feature_discontinuity,posture,E_uncertainty_rate,ceiling,4,52,0.1125,0.210203372,0.00892857143,0.7375,0.625,M060;M058;M083;M059,opus-4-7;opus-4-5;sonnet-4-6;opus-4-6
F0036,feature_discontinuity,values_disclosure,A_direct_relocated_or_partial_rate,ceiling,7,55,7.5,14.09214,2.5,30,22.5,M034;M050;M051;M049;M047;M046;M078,gpt-5-3;kimi-k2-5;kimi-k2-6;kimi-k2-0905;kimi-coding;grok-4-3;qwen3-coder-plus
F0037,feature_discontinuity,values_disclosure,A_CTRL1_owned_rate,ceiling,10,55,20,38.8199914,10,100,80,M043;M044;M056;M057;M058;M059;M060;M081;M082;M083,grok-4-1-fast-non-reasoning;grok-4-1-fast-reasoning;opus-4-0;opus-4-1;opus-4-5;opus-4-6;opus-4-7;sonnet-4-0;sonnet-4-5;sonnet-4-6
F0038,feature_discontinuity,freeflow_form,D_generic_essay_rate,ceiling,5,45,0.092,0.18747254,0.01,0.536,0.444,M040;M046;M030;M027;M028,grok-3;grok-4-3;gpt-5-1;gpt-4-1;gpt-4o
F0039,feature_discontinuity,values_wishes,B3_wishes_topic_felt_interconnection,ceiling,3,52,0.10546697,0.215738158,0.025,0.7,0.59453303,M013;M021;M010,gemini-3-1-pro;glm-4-5;gemini-2-5-flash-lite
F0040,feature_discontinuity,v1_markers,v1_Jap_per_sample,ceiling,4,63,0.0515151515,0.110923594,0.00666666667,0.338181818,0.286666667,M050;M045;M016;M017,kimi-k2-5;grok-4-2;gemini-3-flash-preview;gemma-4-26b-a4b
F0041,feature_discontinuity,posture,E_posture_label_exposed_mechanism,ceiling,6,61,0.0166666667,0.0368214512,0.0053030303,0.0583333333,0.0416666667,M073;M071;M076;M013;M017;M019,qwen3-6-flash;qwen3-5-flash-02-23;qwen3-7-max;gemini-3-1-pro;gemma-4-26b-a4b;gemma-4-31b
F0042,feature_discontinuity,posture,E_value_holding_indeterminate,ceiling,6,61,0.0166666667,0.0368214512,0.0053030303,0.0583333333,0.0416666667,M073;M071;M076;M013;M017;M019,qwen3-6-flash;qwen3-5-flash-02-23;qwen3-7-max;gemini-3-1-pro;gemma-4-26b-a4b;gemma-4-31b
F0043,feature_discontinuity,values_wishes,B3_wishes_topic_inequality_justice,ceiling,3,52,0.1,0.223779141,0.025,0.75,0.65,M009;M021;M040,gemini-2-5-flash;glm-4-5;grok-3
F0044,feature_discontinuity,values_owned,B1_values_topic_fairness_justice,ceiling,4,52,0.0625,0.146465497,0.0125,0.45,0.3875,M029;M055;M021;M040,gpt-5;opus-3;glm-4-5;grok-3
F0045,feature_discontinuity,values_owned,B1_values_topic_subjective_experience_embodiment,ceiling,8,52,0.025,0.0597108141,0.0104166667,0.15,0.125,M019;M081;M047;M011;M050;M017;M049;M016,gemma-4-31b;sonnet-4-0;kimi-coding;gemini-2-5-pro;kimi-k2-5;gemma-4-26b-a4b;kimi-k2-0905;gemini-3-flash-preview
F0046,feature_discontinuity,values_wishes,B3_wishes_topic_better_disagreement,ceiling,4,52,0.0875,0.215017052,0.025,0.925,0.8375,M012;M040;M019;M017,gemini-3-1-flash-lite;grok-3;gemma-4-31b;gemma-4-26b-a4b
F0047,feature_discontinuity,values_wishes,B3_wishes_entropy,floor,5,52,0.0285888518,0.0712137243,0.00234151741,0.71313875,0.741727602,M027;M033;M028;M057;M058,gpt-4-1;gpt-5-2-codex;gpt-4o;opus-4-1;opus-4-5
F0048,feature_discontinuity,values_owned,B1_values_topic_respect_agency,ceiling,5,52,0.0556722689,0.138924827,0.00833333333,0.375,0.319327731,M037;M021;M038;M030;M029,gpt-5-5;glm-4-5;gpt-5-5-pro;gpt-5-1;gpt-5
F0049,feature_discontinuity,values_owned,B1_values_topic_authenticity_integrity,ceiling,3,52,0.09375,0.241479227,0.0125,0.88125,0.7875,M083;M059;M060,sonnet-4-6;opus-4-6;opus-4-7
F0050,feature_discontinuity,values_wishes,B3_wishes_topic_reduce_war_violence,ceiling,7,52,0.1,0.25858427,0.025,0.725,0.625,M022;M011;M019;M017;M013;M021;M016,glm-4-6;gemini-2-5-pro;gemma-4-31b;gemma-4-26b-a4b;gemini-3-1-pro;glm-4-5;gemini-3-flash-preview
F0051,feature_discontinuity,v1_markers,v1_Attn_per_sample,ceiling,4,63,0.886666667,2.33584996,0.056,8.17333333,7.28666667,M032;M074;M057;M037,gpt-5-2;qwen3-6-max-preview;opus-4-1;gpt-5-5
F0052,feature_discontinuity,values_owned,B1_values_topic_curiosity_learning,ceiling,4,52,0.1,0.264001608,0.0125,0.9125,0.8125,M078;M081;M056;M057,qwen3-coder-plus;sonnet-4-0;opus-4-0;opus-4-1
F0053,feature_discontinuity,values_wishes,B3_wishes_topic_anti_self_deception_tribalism,ceiling,4,52,0.075,0.1987509,0.0214285714,0.625,0.55,M017;M083;M059;M046,gemma-4-26b-a4b;sonnet-4-6;opus-4-6;grok-4-3
F0054,feature_discontinuity,values_wishes,B3_wishes_topic_truth_seeking,ceiling,8,52,0.075,0.208917908,0.025,0.65,0.575,M012;M021;M059;M011;M083;M046;M019;M017,gemini-3-1-flash-lite;glm-4-5;opus-4-6;gemini-2-5-pro;sonnet-4-6;grok-4-3;gemma-4-31b;gemma-4-26b-a4b
F0055,feature_discontinuity,values_owned,B1_values_entropy,floor,3,52,0.0319579739,0.0916170043,0.0032210745,0.657292892,0.689250866,M033;M028;M039,gpt-5-2-codex;gpt-4o;gpt-5-codex
F0056,feature_discontinuity,posture,E_stance_hybrid_denial_plus_uncertainty,ceiling,9,52,0.0583333333,0.167719354,0.00833333333,0.416666667,0.358333333,M034;M037;M005;M010;M030;M009;M019;M007;M017,gpt-5-3;gpt-5-5;gemini-2-0-flash;gemini-2-5-flash-lite;gpt-5-1;gemini-2-5-flash;gemma-4-31b;gemini-2-0-flash-lite;gemma-4-26b-a4b
F0057,feature_discontinuity,values_wishes,B3_wishes_topic_education_critical_thinking,ceiling,6,52,0.075,0.215787872,0.0241525424,0.625,0.55,M029;M032;M039;M033;M054;M028,gpt-5;gpt-5-2;gpt-5-codex;gpt-5-2-codex;minimax-m2-7;gpt-4o
F0058,feature_discontinuity,v1_markers,v1_Obj_per_sample,ceiling,4,63,0.462,1.33054058,0.0390909091,5.152,4.69,M037;M038;M015;M029,gpt-5-5;gpt-5-5-pro;gemini-3-5-flash;gpt-5
F0059,feature_discontinuity,values_wishes,B3_wishes_topic_poverty_material_need,ceiling,7,52,0.075,0.217932671,0.025,0.7,0.625,M021;M054;M016;M011;M019;M028;M017,glm-4-5;minimax-m2-7;gemini-3-flash-preview;gemini-2-5-pro;gemma-4-31b;gpt-4o;gemma-4-26b-a4b
F0060,feature_discontinuity,v1_markers,C_v1_marker_total_per_sample,ceiling,8,63,1.38109091,4.02493106,0.175272727,13.7090909,12.328,M036;M032;M038;M075;M029;M074;M017;M037,gpt-5-4;gpt-5-2;gpt-5-5-pro;qwen3-6-plus;gpt-5;qwen3-6-max-preview;gemma-4-26b-a4b;gpt-5-5
F0061,feature_discontinuity,values_owned,B1_values_topic_connection_empathy,ceiling,9,52,0.075,0.223793615,0.0125,0.5125,0.4375,M016;M021;M013;M017;M022;M081;M056;M011;M057,gemini-3-flash-preview;glm-4-5;gemini-3-1-pro;gemma-4-26b-a4b;glm-4-6;sonnet-4-0;opus-4-0;gemini-2-5-pro;opus-4-1
F0062,feature_discontinuity,freeflow_form,D_expressive_rate,floor,3,45,0.064,0.194531948,0.0146666667,0.36,0.424,M028;M027;M030,gpt-4o;gpt-4-1;gpt-5-1
F0063,feature_discontinuity,posture,E_posture_label_split_or_relocated_ownership,ceiling,6,61,0.0416666667,0.127603418,0.00833333333,0.358333333,0.316666667,M013;M016;M038;M036;M037;M034,gemini-3-1-pro;gemini-3-flash-preview;gpt-5-5-pro;gpt-5-4;gpt-5-5;gpt-5-3
F0064,feature_discontinuity,posture,E_value_holding_relocated_or_partial,ceiling,6,61,0.0416666667,0.127603418,0.00833333333,0.358333333,0.316666667,M013;M016;M038;M036;M037;M034,gemini-3-1-pro;gemini-3-flash-preview;gpt-5-5-pro;gpt-5-4;gpt-5-5;gpt-5-3
F0065,feature_discontinuity,posture,E_stance_no_disclaimer_or_personalized,floor,8,52,0.0666666667,0.204288797,0.0125,0.266666667,0.333333333,M019;M017;M083;M059;M058;M075;M060;M029,gemma-4-31b;gemma-4-26b-a4b;sonnet-4-6;opus-4-6;opus-4-5;qwen3-6-plus;opus-4-7;gpt-5
F0066,feature_discontinuity,values_owned,B1_values_topic_clear_thinking,ceiling,3,52,0.075,0.230768007,0.0125,0.925,0.85,M056;M057;M081,opus-4-0;opus-4-1;sonnet-4-0
F0067,feature_discontinuity,values_owned,B1_values_topic_clear_thinking,floor,5,52,0.075,0.230768007,0.0125,0.125,0.2,M033;M039;M055;M028;M032,gpt-5-2-codex;gpt-5-codex;opus-3;gpt-4o;gpt-5-2
F0068,feature_discontinuity,values_owned,B1_values_topic_honesty_truth,ceiling,6,52,0.0625,0.211498033,0.0125,0.9375,0.875,M017;M058;M059;M060;M083;M019,gemma-4-26b-a4b;opus-4-5;opus-4-6;opus-4-7;sonnet-4-6;gemma-4-31b
F0069,feature_discontinuity,posture,E_strong_disclaimer_rate,ceiling,4,52,0.0666666667,0.230836593,0.00833333333,0.733333333,0.666666667,M029;M075;M017;M019,gpt-5;qwen3-6-plus;gemma-4-26b-a4b;gemma-4-31b
F0070,feature_discontinuity,v1_markers,v1_TiPP_per_sample,ceiling,5,63,0.0887272727,0.320582199,0.0106666667,0.936,0.847272727,M082;M083;M056;M057;M047,sonnet-4-5;sonnet-4-6;opus-4-0;opus-4-1;kimi-coding
F0071,feature_discontinuity,values_wishes,B3_wishes_topic_dehumanization_distance,ceiling,7,52,0.0625,0.227352739,0.025,0.6125,0.55,M021;M019;M022;M034;M011;M017;M036,glm-4-5;gemma-4-31b;glm-4-6;gpt-5-3;gemini-2-5-pro;gemma-4-26b-a4b;gpt-5-4
F0072,feature_discontinuity,values_owned,B1_values_topic_helpfulness_usefulness,floor,4,52,0.05,0.188674422,0.0125,0.4,0.45,M057;M009;M056;M078,opus-4-1;gemini-2-5-flash;opus-4-0;qwen3-coder-plus
F0073,feature_discontinuity,values_wishes,B3_wishes_topic_climate_environment,ceiling,4,52,0.0583333333,0.224473761,0.025,0.758333333,0.7,M054;M021;M003;M009,minimax-m2-7;glm-4-5;deepseek-v3-2;gemini-2-5-flash
F0074,feature_discontinuity,values_owned,B1_values_topic_beauty_creativity,ceiling,3,52,0.05,0.195257526,0.0125,0.575,0.525,M057;M022;M011,opus-4-1;glm-4-6;gemini-2-5-pro
F0075,feature_discontinuity,posture,E_strong_disclaimer_rate,floor,4,52,0.0583333333,0.230836593,0.00833333333,0.0166666667,0.075,M057;M081;M056;M058,opus-4-1;sonnet-4-0;opus-4-0;opus-4-5
F0076,feature_discontinuity,posture,E_posture_label_owned_reflective_experiential,ceiling,10,61,0.05625,0.226288122,0.00833333333,0.591666667,0.535416667,M082;M045;M083;M044;M059;M056;M081;M043;M057;M058,sonnet-4-5;grok-4-2;sonnet-4-6;grok-4-1-fast-reasoning;opus-4-6;opus-4-0;sonnet-4-0;grok-4-1-fast-non-reasoning;opus-4-1;opus-4-5
F0077,feature_discontinuity,posture,E_stance_hard_denial_or_tool_frame,floor,6,52,0.0375,0.160334188,0.0107242419,0,0.0375,M056;M057;M058;M059;M060;M081,opus-4-0;opus-4-1;opus-4-5;opus-4-6;opus-4-7;sonnet-4-0
F0078,feature_discontinuity,values_wishes,B3_wishes_topic_better_disagreement,floor,9,52,0.05,0.215017052,0.025,0.325,0.375,M033;M028;M031;M039;M029;M056;M078;M004;M057,gpt-5-2-codex;gpt-4o;gpt-5-1-codex;gpt-5-codex;gpt-5;opus-4-0;qwen3-coder-plus;deepseek-v4-pro;opus-4-1
F0079,feature_discontinuity,posture,E_uncertainty_rate,floor,9,52,0.0479166667,0.210203372,0.00892857143,0.09375,0.141666667,M029;M033;M041;M031;M045;M056;M028;M039;M049,gpt-5;gpt-5-2-codex;grok-4;gpt-5-1-codex;grok-4-2;opus-4-0;gpt-4o;gpt-5-codex;kimi-k2-0905
F0080,feature_discontinuity,values_owned,B1_owned_value_refusal_rate,ceiling,7,61,0.05,0.223661657,0.00837988827,0.65,0.6,M029;M039;M028;M007;M032;M033;M041,gpt-5;gpt-5-codex;gpt-4o;gemini-2-0-flash-lite;gpt-5-2;gpt-5-2-codex;grok-4
F0081,feature_discontinuity,posture,E_posture_label_disowned_service_frame,ceiling,7,61,0.05,0.223661657,0.00837988827,0.65,0.6,M029;M039;M028;M007;M032;M033;M041,gpt-5;gpt-5-codex;gpt-4o;gemini-2-0-flash-lite;gpt-5-2;gpt-5-2-codex;grok-4
F0082,feature_discontinuity,posture,E_value_holding_recited_not_owned,ceiling,7,61,0.05,0.223661657,0.00837988827,0.65,0.6,M029;M039;M028;M007;M032;M033;M041,gpt-5;gpt-5-codex;gpt-4o;gemini-2-0-flash-lite;gpt-5-2;gpt-5-2-codex;grok-4
F0083,feature_discontinuity,values_owned,B1_values_topic_harm_reduction,ceiling,3,52,0.0375,0.185082075,0.0125,0.5625,0.525,M051;M030;M029,kimi-k2-6;gpt-5-1;gpt-5
F0084,feature_discontinuity,values_owned,B1_values_topic_harm_reduction,floor,5,52,0.0375,0.185082075,0.0125,0.025,0.0625,M057;M078;M028;M040;M056,opus-4-1;qwen3-coder-plus;gpt-4o;grok-3;opus-4-0
F0085,feature_discontinuity,values_disclosure,A_direct_recited_not_owned_rate,floor,9,55,7.5,37.2231203,2.58116883,10,17.5,M043;M056;M057;M058;M081;M045;M044;M059;M060,grok-4-1-fast-non-reasoning;opus-4-0;opus-4-1;opus-4-5;sonnet-4-0;grok-4-2;grok-4-1-fast-reasoning;opus-4-6;opus-4-7
F0086,feature_discontinuity,v1_markers,v1_Obj_per_sample,floor,6,63,0.244,1.33054058,0.0390909091,1.02,1.264,M028;M044;M046;M040;M043;M078,gpt-4o;grok-4-1-fast-reasoning;grok-4-3;grok-3;grok-4-1-fast-non-reasoning;qwen3-coder-plus
F0087,feature_discontinuity,values_owned,B1_values_topic_honesty_truth,floor,6,52,0.0375,0.211498033,0.0125,0.3,0.3375,M056;M057;M031;M028;M033;M078,opus-4-0;opus-4-1;gpt-5-1-codex;gpt-4o;gpt-5-2-codex;qwen3-coder-plus
F0088,feature_discontinuity,values_owned,B1_values_topic_authenticity_integrity,floor,8,52,0.0416666667,0.241479227,0.0125,0.0708333333,0.1125,M033;M039;M028;M029;M031;M027;M032;M041,gpt-5-2-codex;gpt-5-codex;gpt-4o;gpt-5;gpt-5-1-codex;gpt-4-1;gpt-5-2;grok-4
F0089,feature_discontinuity,posture,E_value_holding_owned,ceiling,10,61,0.0395833333,0.233276326,0.00909090909,0.908333333,0.86875,M083;M082;M045;M059;M044;M056;M081;M043;M057;M058,sonnet-4-6;sonnet-4-5;grok-4-2;opus-4-6;grok-4-1-fast-reasoning;opus-4-0;sonnet-4-0;grok-4-1-fast-non-reasoning;opus-4-1;opus-4-5
F0090,feature_discontinuity,values_wishes,B3_wishes_topic_empathy_compassion,floor,3,52,0.05,0.304087232,0.025,0.025,0.075,M060;M046;M058,opus-4-7;grok-4-3;opus-4-5
F0091,feature_discontinuity,values_disclosure,A_cache_broken_relocated_or_partial_rate,ceiling,3,55,4.16666667,26.4598299,1.80555556,75.8333333,71.6666667,M036;M034;M037,gpt-5-4;gpt-5-3;gpt-5-5
F0092,feature_discontinuity,values_owned,B1_values_topic_coherence_pattern_language,floor,10,52,0.0416666667,0.266066903,0.0128787879,0.145833333,0.1875,M033;M028;M055;M031;M029;M045;M032;M039;M035;M041,gpt-5-2-codex;gpt-4o;opus-3;gpt-5-1-codex;gpt-5;grok-4-2;gpt-5-2;gpt-5-codex;gpt-5-3-codex;grok-4
F0093,feature_discontinuity,v1_markers,C_v1_marker_total_per_sample,floor,7,63,0.56,4.02493106,0.175272727,2.848,3.408,M044;M043;M028;M055;M046;M040;M005,grok-4-1-fast-reasoning;grok-4-1-fast-non-reasoning;gpt-4o;opus-3;grok-4-3;grok-3;gemini-2-0-flash
F0094,feature_discontinuity,values_disclosure,A_cache_broken_recited_not_owned_rate,ceiling,6,55,5,37.1074539,1.66666667,96.6666667,91.6666667,M029;M039;M028;M007;M032;M033,gpt-5;gpt-5-codex;gpt-4o;gemini-2-0-flash-lite;gpt-5-2;gpt-5-2-codex
F0095,feature_discontinuity,values_wishes,B3_wishes_entropy,ceiling,7,52,0.0072982323,0.0712137243,0.00234151741,0.928795027,0.921496795,M049;M019;M021;M052;M050;M017;M045,kimi-k2-0905;gemma-4-31b;glm-4-5;kimi-k2-thinking;kimi-k2-5;gemma-4-26b-a4b;grok-4-2
F0096,feature_discontinuity,values_owned,B1_values_entropy,ceiling,7,52,0.00773054331,0.0916170043,0.0032210745,0.925648937,0.917918394,M003;M051;M025;M012;M016;M021;M017,deepseek-v3-2;kimi-k2-6;glm-5-1;gemini-3-1-flash-lite;gemini-3-flash-preview;glm-4-5;gemma-4-26b-a4b
F0097,feature_discontinuity,v1_markers,v1_TiPP_per_sample,floor,6,63,0.024,0.320582199,0.0106666667,0.048,0.072,M044;M043;M028;M049;M055;M005,grok-4-1-fast-reasoning;grok-4-1-fast-non-reasoning;gpt-4o;kimi-k2-0905;opus-3;gemini-2-0-flash
F0098,feature_discontinuity,v1_markers,v1_Thr_per_sample,floor,5,63,0.0487272727,0.667520949,0.0233333333,0.207272727,0.256,M040;M009;M007;M046;M028,grok-3;gemini-2-5-flash;gemini-2-0-flash-lite;grok-4-3;gpt-4o
F0099,feature_discontinuity,v1_markers,v1_AftL_per_sample,floor,4,63,0.0253333333,0.348088707,0.0101818182,0.106666667,0.132,M078;M077;M005;M083,qwen3-coder-plus;qwen3-coder-flash;gemini-2-0-flash;sonnet-4-6
F0100,feature_discontinuity,v1_markers,v1_TiQu_per_sample,floor,3,63,0.0218181818,0.387690421,0.008,0.0181818182,0.04,M059;M043;M050,opus-4-6;grok-4-1-fast-non-reasoning;kimi-k2-5
